Korean,English
내가 ,I
그 35563,That 35563
난 35163,I am 35163
내 33774,my 33774
안 32915,No. 32915
수 32814,number 32814
이 30671,This 30671
네 29504,yes 29504
거야 27633,Yes 27633
좀 25742,some 25742
그래 23453,yes 23453
있어 21329,There are 21329
왜 20645,why 20645
더 18760,more 18760
그리고 18551,and 18551
우리 18186,us 18186
다 16549,16549
무슨 16460,what 16460
한 16214,one 16214
하지만 16213,But 16213
잘 15904,well 15904
어떻게 15731,how 15731
할 15599,do 15599
그냥 15379,Just 15379
정말 14958,really 14958
그럼 14659,Then 14659
것 14409,thing 14409
게 14358,crab 14358
있어요 13941,There are 13941
있는 13759,There are 13759
해 13611,year 13611
여기 13433,13433 here
넌 13292,you are 13292
제가 13261,I am 13261
날 12972,day 12972
우리가 12700,we have 12700
건 12616,Case 12616
전 12614,ex 12614
이제 12601,Now 12601
지금 12460,Now 12460
그게 12424,That's 12424
걸 12262,Girl 12262
거 11944,huge 11944
아니 11876,no 11876
네가 11838,you are 11838
없어 11729,None 11729
돼 11157,Okay 11157
저 11122,That 11122
우린 11000,We are 11000
제 10893,No. 10893
못 10751,nail 10751
좋아 10712,Okay 10712
당신이 10649,you 10649
다른 10052,another 10052
나 10042,me 10042
그런 9723,9723 like that
그건 9628,That's 9628
너무 9580,too 9580
그래서 9537,So 9537
그렇게 9343,like that 9343
다시 9331,9331 again
이건 9257,This is 9257
이런 9239,Oh my 9239
나도 8962,Me too 8962
모든 8945,All 8945
당신 8885,you 8885
거예요 8824,Yes 8824
당신은 8666,you are 8666
아 8433,Ah 8433
좋은 8356,good 8356
오 8097,Oh 8097
때 8062,When 8062
너 7660,you 7660
하는 7645,7645 to do
하고 7509,And 7509
아냐 7489,No 7489
나는 7474,I am 7474
아니야 7427,No 7427
알아 7424,I know 7424
같이 7389,together 7389
응 7315,Yes 7315
이게 7214,This is 7214
없어요 7085,None 7085
괜찮아 6795,It's okay 6795
오늘 6761,Today 6761
말이야 6569,I mean 6569
줄 6489,line 6489
또 6475,Also 6475
널 6471,null 6471
누가 6365,Luke 6365
어떤 6314,some 6314
아주 6245,Very 6245
말 6216,horse 6216
아직 6197,Still 6197
안돼 6051,No 6051
진짜 6020,real 6020
모두 5982,All 5982
마 5950,Ma 5950
같은 5923,Same 5923
여기서 5892,5892 here
어서 5851,Come on 5851
그는 5842,He is 5842
위해 5837,5837
해요 5828,Do it 5828
일이 5817,work 5817
하지 5768,not 5768
엄마 5728,mom 5728
바로 5628,Right 5628
가 5623,5623
근데 5547,But 5547
알고 5534,know 5534
이렇게 5516,Like this 5516
빨리 5487,quickly 5487
있습니다 5474,There are 5474
이거 5373,This is 5373
전에 5366,5366 before
어 5306,uh 5306
아뇨 5297,No 5297
계속 5257,Continued 5257
닥터 5237,Doctor 5237
얼마나 5234,how many 5234
될 5234,be 5234
알았어 5217,Okay 5217
않아 5207,No 5207
제발 5182,please 5182
있지 5135,ITZY 5135
겁니다 5062,5062
어디 5021,where 5021
사람이 5021,person 5021
그가 5006,He is 5006
안녕 4963,hello 4963
좋아요 4954,Likes 4954
같아 4864,Same as 4864
우리는 4862,we have 4862
그래요 4795,yes 4795
당신을 4767,you 4767
자 4745,character 4745
그걸 4724,4724 that
두 4698,two 4698
아니에요 4609,"No, 4609"
있을 4603,There are 4603
때문에 4598,Because 4598
대해 4598,About 4598
아빠 4551,dad 4551
몇 4444,few 4444
사람 4444,person 4444
했어 4395,did it 4395
뭐야 4377,What is it 4377
수도 4314,Capital 4314
많이 4279,A lot 4279
집에 4262,home 4262
거지 4262,beggar 4262
일을 4262,work 4262
저는 4257,I am 4257
음 4240,um 4240
그렇지 4223,That's right 4223
함께 4219,together 4219
만약 4121,If 4121
하나 4093,one 4093
저기 4083,Hey 4083
고마워요 4022,thank you 4022
항상 4011,always 4011
나한테 3977,3977 to me
잠깐 3930,Wait 3930
가서 3900,Go 3900
가장 3891,Most 3891
돼요 3874,It’s okay 3874
거죠 3869,3869
가자 3852,Let's go 3852
맞아 3840,That's right 3840
보고 3833,Report 3833
와 3760,and 3760
그거 3753,That's 3753
말을 3751,say 3751
괜찮아요 3737,It's okay 3737
아무도 3713,nobody 3713
없는 3704,3704 without
안녕하세요 3692,Hello 3692
몰라 3643,I don't know 3643
일 3632,day 3632
많은 3615,many 3615
당신의 3571,your 3571
아무것도 3559,nothing 3559
그러니까 3552,So 3552
큰 3550,big 3550
알아요 3539,I know 3539
그의 3534,his 3534
뭐가 3531,what is 3531
고마워 3506,thank you 3506
그만 3505,stop 3505
했어요 3496,I did it 3496
젠장 3494,Damn 3494
사람들이 3477,people 3477
거에요 3393,3393
이걸 3384,3384 this
그럴 3382,3382
것도 3382,Also 3382
말이 3381,3381 words
이미 3354,Already 3354
야 3341,Hey 3341
그를 3333,him 3333
뭔가 3327,something 3327
온 3321,On 3321
이봐 3265,Hey 3265
아니면 3257,Or 3257
같아요 3253,I think 3253
그런데 3244,But 3244
아니라 3237,not 3237
세상에 3220,oh my god 3220
있다고 3217,3217
있고 3199,There are 3199
뭐라고 3198,What 3198
예 3184,Yes 3184
절대 3177,Absolutely 3177
말야 3174,3174
당장 3149,Right now 3149
그래도 3107,Still 3107
대한 3102,For 3102
말은 3097,The words are 3097
거기 3056,there 3056
전부 3041,3041 in total
둘 3036,two 3036
그녀는 3033,she is 3033
니가 3031,nigga 3031
갈 3025,gal 3025
않아요 3006,No 3006
자기 2987,baby 2987
있죠 2986,Yes 2986
하면 2986,2986
가지고 2965,have 2965
그들이 2937,they are 2937
참 2882,true 2882
너도 2877,You too 2877
됐어 2869,Okay 2869
미안해 2864,sorry 2864
것을 2827,2827
여긴 2825,This is 2825
아무 2822,Any 2822
사람은 2781,2781 people
감사합니다 2781,thank you 2781
다들 2778,Everyone 2778
어때 2763,How about 2763
씨 2756,Mr. 2756
곧 2751,soon 2751
엄마가 2747,mom 2747
나를 2730,me 2730
이젠 2729,Now 2729
아마 2725,Probably 2725
그들은 2717,They are 2717
얘기 2716,story 2716
꼭 2712,Definitely 2712
있잖아 2709,"You know, 2709"
저도 2705,Me too 2705
지금은 2697,Now it's 2697
그녀가 2692,she 2692
중 2681,middle 2681
있다 2661,There are 2661
시간 2657,time 2657
먼저 2655,First 2655
우릴 2641,us 2641
말고 2638,2638
사람을 2602,people 2602
수가 2596,Number 2596
봐요 2583,Look 2583
있는데 2562,There are 2562
알았어요 2551,Okay 2551
해야 2544,Must be 2544
있었어 2540,There were 2540
우리의 2533,our 2533
않을 2531,not 2531
방금 2511,Just 2511
완전 2494,Totally 2494
된 2482,2482
동안 2470,While 2470
시간이 2466,time is 2466
싶어 2444,want 2444
본 2439,Bonn 2439
일은 2432,day is 2432
친구 2428,friend 2428
들어 2424,For 2424
안에 2413,2413 in
번 2402,number 2402
자네 2399,you 2399
합니다 2349,2349
사실 2347,fact 2347
한번 2344,once 2344
대체 2317,Replaced 2317
같은데 2315,Looks like 2315
생각해 2286,think 2286
맞아요 2281,That's right 2281
볼 2280,ball 2280
혼자 2273,alone 2273
자네가 2273,You are 2273
절 2230,Verse 2230
그러니 2226,So 2226
선생님 2218,teacher 2218
사람들은 2207,people 2207
문제가 2200,Problem 2200
다음 2184,next 2184
물론 2178,Of course 2178
거의 2172,almost 2172
일이야 2172,It's work 2172
없습니다 2172,None 2172
아빠가 2168,Dad 2168
되는 2162,becoming 2162
그러면 2150,Then 2150
순 2137,Net 2137
가는 2134,Going 2134
말도 2115,Even 2115
이리 2113,Lee 2113
있었어요 2111,There was 2111
맙소사 2099,Oh my god 2099
내일 2095,tomorrow 2095
있으면 2089,If there is 2089
잠깐만 2089,Wait a minute 2089
싫어 2085,Hate 2085
중요한 2079,important 2079
내게 2078,2078 to me
말해 2076,tell me 2076
이상 2070,Over 2070
거라고 2068,2068
아는 2058,Knowing 2058
너는 2054,you are 2054
새 2053,bird 2053
적 2050,Enemy 2050
전혀 2046,2046 at all
여자 2037,woman 2037
새로운 2007,new 2007
너희 1989,you 1989
왔어 1976,came 1976
아직도 1969,still in 1969
가지 1967,Eggplant 1967
나와 1966,me and 1966
알 1945,Al 1945
싶지 1943,1943
여기에 1941,1941 here
원하는 1940,wanted 1940
돈 1937,money 1937
필요 1933,needed 1933
도움이 1931,helpful 1931
그녀를 1926,her in 1926
몰라요 1921,I don't know 1921
작은 1920,small 1920
혹시 1911,Maybe 1911
미안해요 1897,Sorry 1897
나쁜 1896,bad 1896
죄송해요 1891,Sorry 1891
모르겠어 1891,I don't know 1891
가요 1888,Gayo 1888
알지 1867,Algi 1867
밖에 1860,outside 1860
직접 1856,Directly 1856
있나 1855,1855
니 1848,nice 1848
해도 1847,Sea chart 1847
하죠 1841,Let's do it 1841
했는데 1827,It was 1827
필요해 1826,I need it 1826
아니요 1825,No 1825
적이 1807,enemy 1807
있나요 1802,Is there 1802
갖고 1801,have 1801
돈을 1798,money 1798
주세요 1795,please 1795
어디서 1783,where 1783
것이 1774,It was 1774
거요 1769,1769
위한 1759,for 1759
것은 1756,It was 1756
없이 1756,1756 without
나중에 1752,later 1752
아버지 1743,father 1743
나랑 1742,1742 with me
됐어요 1736,Okay 1736
마세요 1735,Don't do it 1735
차 1717,car 1717
언제 1717,When 1717
그저 1715,just 1715
생각 1711,Thought 1711
했지 1709,I did it 1709
봤어 1704,saw 1704
해서 1704,1704
시간을 1699,time 1699
마지막 1688,Last 1688
알겠어 1686,Okay 1686
왜냐면 1679,Because 1679
위해서 1674,for 1674
엄청 1669,very 1669
알겠습니다 1665,Okay 1665
오래 1664,long 1664
기다려 1657,wait 1657
아닙니다 1648,No 1648
있는지 1640,Is there 1640
알겠어요 1634,Okay 1634
제일 1633,Best 1633
지난 1621,Last 1621
그렇죠 1619,That's right 1619
죽은 1617,dead 1617
제대로 1616,properly 1616
아니지 1615,"No, 1615"
있다면 1599,If there are 1599
보면 1595,"If you look, it's 1595"
우리를 1594,us 1594
짓을 1593,1593
남자 1589,man 1589
너가 1588,you are 1588
있다는 1587,1587
누구 1578,who 1578
보여 1575,show 1575
왔어요 1574,I'm here 1574
너한테 1569,1569 to you
여러분 1566,Everyone 1566
완전히 1561,Totally 1561
너의 1560,your 1560
것이다 1560,It will be 1560
밤 1558,night 1558
소리 1553,sound 1553
없지 1548,1548
벌써 1546,Already 1546
모르겠어요 1541,I don't know 1541
말이지 1538,1538
올 1536,All 1536
사람들을 1534,people 1534
처음 1534,first 1534
말이죠 1532,1532
사람들 1529,people 1529
그녀의 1524,her 1524
멋진 1523,awesome 1523
왜요 1521,Why 1521
정말로 1511,really 1511
이름은 1506,The name is 1506
와서 1498,come 1498
대해서 1497,about 1497
여보 1487,honey 1487
조금 1482,a little 1482
않았어 1482,1482
말이에요 1474,1474
이름이 1474,name is 1474
여보세요 1466,Hello 1466
서로 1462,each other 1462
안돼요 1461,No 1461
죽을 1458,die 1458
첫 1452,first 1452
매우 1450,very 1450
사랑해 1450,I love you 1450
오늘은 1447,Today is 1447
싶은 1444,want 1444
어디로 1439,where 1439
단지 1438,Only 1438
아닌 1429,not 1429
나가 1429,go out 1429
뿐이야 1427,1427
미안 1422,sorry 1422
확실히 1421,definitely 1421
싶어요 1417,I want 1417
죄송합니다 1417,sorry 1417
때까지 1415,Until 1415
없고 1410,No 1410
어때요 1404,How are you? 1404
살 1403,Sal 1403
당연히 1402,Of course 1402
데리고 1400,take 1400
필요한 1399,1399 needed
없다 1397,None 1397
후 1397,After 1397
가고 1395,Going 1395
글쎄 1395,Well 1395
않는 1394,1394
했죠 1389,I did it 1389
나의 1389,my 1389
별로 1383,Not really 1383
않은 1377,not 1377
라고 1377,Say 1377
집 1376,house 1376
여전히 1373,still 1373
없을 1372,1372
딱 1372,Just 1372
있어서 1370,1370
이야기 1368,Story 1368
엄마는 1365,Mom is 1365
부인 1363,wife 1363
하는데 1362,1362
않고 1362,Without 1362
알았지 1356,Okay 1356
아니고 1350,"No, 1350"
여자가 1346,woman 1346
문 1345,Moon 1345
되지 1343,Not 1343
거기서 1342,1342 there
훨씬 1339,By far 1339
아버지가 1332,My father is 1332
망할 1331,damn 1331
뭔지 1326,What is it 1326
손 1324,hand 1324
수술 1321,surgery 1321
듣고 1318,listen 1318
어쩌면 1318,maybe 1318
보세요 1317,Look 1317
생각이 1314,Thought 1314
어느 1313,Which 1313
그러지 1311,1311
되면 1308,1308
아마도 1308,maybe 1308
준비 1308,ready 1308
전화 1300,call 1300
뒤에 1296,behind 1296
도대체 1291,hell 1291
너를 1290,you 1290
당신도 1289,You too 1289
것처럼 1286,Like 1286
않으면 1284,Otherwise 1284
말하는 1275,talking 1275
최고의 1274,Best 1274
말하지 1271,1271
세 1271,aged 1271
모르는 1269,don't know 1269
유일한 1267,only 1267
갑자기 1262,suddenly 1262
이봐요 1258,Hey 1258
건가요 1251,Is it 1251
없다고 1250,1250
것입니다 1247,will be 1247
있잖아요 1243,"You know, 1243"
되고 1242,become 1242
어쨌든 1239,Anyway 1239
가진 1239,with 1239
이번 1239,This time 1239
뭐하는 1236,What are you doing 1236
후에 1233,After 1233
친구가 1225,friend 1225
지 1224,1224
신경 1224,nerve 1224
그만해 1224,stop it 1224
누구야 1222,Who is it 1222
당신에게 1221,1221 to you
늘 1220,always 1220
없었어 1215,1215
그들을 1214,them 1214
있게 1214,1214
알잖아 1210,You know 1210
누군가 1208,someone 1208
분명히 1206,apparently 1206
생각을 1203,thoughts 1203
존 1200,zone 1200
일단 1198,"First of all, 1198"
가야 1198,Gaya 1198
걱정 1194,worry 1194
보자 1192,Let's see 1192
매일 1188,1188 every day
수는 1184,The number is 1184
아침 1182,morning 1182
말할 1181,1181 to say
말아요 1169,1169
모두가 1168,Everyone is 1168
않았어요 1164,1164
얘기를 1162,talk 1162
봤어요 1158,I saw it 1158
대신 1157,instead of 1157
마치 1156,Like 1156
건데 1154,1154
자넨 1154,You are 1154
했잖아 1153,I told you 1153
둘이 1151,Two 1151
당신과 1149,you and 1149
집으로 1148,home 1148
한다 1146,do 1146
두고 1143,leave 1143
이름을 1140,name 1140
있네 1139,There is 1139
그들의 1139,their 1139
뭔데 1133,What is it 1133
금방 1132,Soon 1132
사는 1132,live 1132
좋아하는 1132,favorite 1132
찾을 1128,find 1128
맘에 1127,Like 1127
결국 1126,Finally 1126
이유가 1125,Reason 1125
필요해요 1125,I need it 1125
중에 1123,Among 1123
그때 1122,then 1122
보는 1120,Seeing 1120
너랑 1119,1119 with you
아이를 1119,child 1119
없잖아 1113,There is no 1113
한다고 1112,Do it 1112
기분 1107,mood 1107
하게 1103,1103
놈이 1099,This guy is 1099
못해 1099,I can’t do it 1099
우리에게 1099,1099 to us
가면 1098,mask 1098
저를 1097,1097 me
잡아 1094,catch 1094
집에서 1093,1093 at home
우리도 1093,We too 1093
기분이 1091,feeling 1091
저희 1090,our 1090
찾고 1089,Looking for 1089
손을 1088,hand 1088
거다 1085,Geoda 1085
어제 1083,yesterday 1083
남자가 1082,man 1082
뭐지 1081,What is it 1081
앞으로 1081,forward 1081
잠깐만요 1076,Wait a minute 1076
자신의 1072,own 1072
애가 1069,Lamentations 1069
이상한 1067,strange 1067
막 1066,Act 1066
먹고 1065,eat 1065
아이 1064,child 1064
언제나 1062,always 1062
여기가 1056,Here is 1056
아들 1056,son 1056
알게 1055,Alge 1055
하세요 1055,Do it 1055
총 1053,Total 1053
스스로 1052,yourself 1052
방법이 1049,method 1049
있던 1048,There were 1048
해봐 1047,Try it 1047
아님 1046,Not 1046
때가 1035,The time is 1035
아니죠 1031,"No, 1031"
했던 1029,did 1029
조용히 1027,quietly 1027
밤에 1026,1026 at night
미친 1025,crazy 1025
텐데 1019,1019
머리 1016,head 1016
않습니다 1014,not 1014
잘못 1011,error 1011
고맙습니다 1009,thank you 1009
있어야 1009,Must be 1009
왜냐하면 1008,Because 1008
앉아 1008,sit 1008
아침에 1006,1006 in the morning
죽일 1005,kill 1005
환자 1004,patient 1004
양 1003,Sheep 1003
없죠 1002,"No, 1002"
일어나 1002,wake up 1002
믿을 1002,unbelievable 1002
같네요 1001,Looks like 1001
건가 1001,Gunga 1001
게다가 998,Plus 998
알렉스 998,alex 998
타고 994,ride 994
데 992,having 992
들었어 991,I heard 991
눈을 989,eyes 989
나에게 988,988 to me
없었어요 987,There was no 987
만나서 985,meet 985
진정해 983,Calm down 983
이것 982,this 982
더이상 982,No more 982
보지 981,pussy 981
방법을 979,method 979
원래 976,original 976
솔직히 975,honestly 975
좋지 975,Good 975
하려고 973,973
빌어먹을 972,damn 972
총을 970,gun 970
길을 969,road 969
누군지 969,Who is 969
아니라고 968,no 968
자신을 967,yourself 967
여길 967,Yeogil 967
있지만 964,but 964
얼른 961,Hurry 961
얘들아 958,Hey guys 958
대로 953,boulevard 953
만든 951,made 951
놈 949,bastard 949
조심해 949,be careful 949
일에 946,946 in days
따라 946,follow 946
술 944,alcohol 944
정확히 941,Exactly 941
자기가 941,941
충분히 934,enough 934
힘을 933,strength 933
아저씨 930,uncle 930
알겠지 928,Okay 928
있었는데 927,There was 927
사랑하는 927,dear 927
기다리고 925,waiting 925
될거야 922,It will be 922
살아 922,Alive 922
평생 919,lifetime 919
아까 919,919 earlier
얘야 918,honey 918
눈 918,snow 918
거기에 917,917 there
애 917,Ae 917
분명 916,obviously 916
말하고 914,Talking 914
역시 912,"As expected, 912"
저희가 910,We are 910
찾아 909,find 909
걔가 907,He's 907
이럴 906,Holy 906
저기요 905,Hey 905
너와 904,you and 904
될까요 901,Will it be 901
천천히 897,slowly 897
문제 897,Problem 897
수술을 896,surgery 896
좋았어 895,It was good 895
어디에 893,where 893
문을 890,door 890
맞지 888,That's right 888
어딨어 886,Where are you 886
조지 885,george 885
아녜요 884,"No, 884"
저녁 883,dinner 883
됩니다 883,883
마요 883,Mayo 883
생각엔 881,I think it's 881
만들어 879,make 879
적어도 878,at least 878
애들 878,kids 878
개 876,dog 876
잘했어 875,Well done 875
그러나 875,But 875
주 871,note 871
괜찮은 869,decent 869
생각은 869,Thoughts are 869
위에 869,above 869
가끔 868,Sometimes 868
있었던 867,There were 867
간 866,Liver 866
잠시 866,moment 866
알아서 865,865
곳에 864,where 864
집을 864,house 864
그렇지만 864,But 864
그레이 863,gray 863
그럼요 863,Sure 863
삶을 860,life 860
마음에 858,858 in my heart
살고 858,live 858
들고 856,carrying 856
분 854,minutes 854
그랬어 850,It was 850
차를 847,car 847
옆에 846,next to 846
아이가 846,child 846
이번엔 844,This time 844
저게 844,That's 844
아빠는 844,Dad is 844
괜찮을 844,It's okay 844
하자 843,let's do it 843
알았는데 842,I thought it was 842
생각해요 841,I think 841
없는데 841,841
생각하는 840,thinking 840
아니잖아 840,"No, 840"
마지막으로 840,Finally 840
여자를 837,woman 837
죽었어 837,Dead 837
멍청한 836,stupid 836
훌륭한 834,great 834
있었지 834,There was 834
정도 832,degree 832
베일리 832,bailey 832
준비가 832,ready 832
남은 832,832 remaining
있으니까 831,Because there is 831
싫어요 831,Dislike 831
입니다 829,It's 829
영원히 828,forever 828
엄청난 827,A whopping 827
정신 826,spirit 826
는 825,is 825
계세요 824,Are you there 824
하는지 823,823
좋을 823,good 823
있었죠 821,There was 821
간다 821,Going 821
기회를 820,opportunity 820
그대로 820,820 as is
하나도 820,Not even one is 820
멈춰 818,stop 818
필요가 818,need 818
도와줘 817,help me 817
다음에 817,next time 817
앞에서 816,816 from the front
뭐든 814,anything 814
물 814,water 814
밖으로 813,out 813
오는 813,coming 813
그렇다면 812,Then 812
미국 811,usa 811
말라고 811,811
하지마 810,Don't do it 810
서 810,810
말한 810,said 810
테니까 809,809
앞에 809,809 in front
를 809,809
처럼 807,Like 807
저한테 806,806 to me
거고 806,Geogo 806
받아 805,take 805
그것도 803,That too 803
요즘 803,803 these days
믿어 802,believe me 802
뒤로 802,back 802
놈들이 801,They are 801
입고 797,wearing 797
보니 796,Bonnie 796
속에 796,796 inside
잠시만요 795,Wait a minute 795
소리야 795,Soriya 795
들어봐 795,listen 795
자기야 793,Baby 793
헤이 792,hey 792
에 791,in 791
이해가 789,I understand 789
옷 789,clothes 789
들어가 788,Go in 788
아버지는 788,My father is 788
않을거야 787,I won't do it 787
있소 787,Yes 787
자네는 787,you are 787
모르겠지만 787,I don't know but 787
누구도 782,no one 782
입 782,mouth 782
어머니 781,mother 781
특별한 781,special 781
좋겠어 781,I hope so 781
준 781,June 781
그것은 780,It's 780
관한 779,779
할게 778,I will do it 778
여기는 778,This is 778
언니 777,Sister 777
환자가 777,Patient 777
갈게 776,I'll go 776
나야 775,It's me 775
제게 774,774 to me
하루 774,774 per day
단 773,Only 773
필 773,Phil 773
가세요 772,Go 772
끔찍한 772,terrible 772
걸로 772,Girlo 772
사랑 771,love 771
일도 771,771 days
아름다운 771,beautiful 771
년 771,year 771
형 769,Brother 769
뭐요 765,What 765
저런 764,764 like that
별 763,star 763
아니다 763,no 763
받고 763,Received 763
할거야 761,I will do it 761
쓸 759,write 759
씨발 759,fuck 759
돈이 758,758 money
그에게 758,758 to him
뭔가를 758,something 758
마음을 755,heart 755
문제는 753,The problem is 753
의 753,of 753
서둘러 753,hurry up 753
못할 753,753
없네 747,No 747
끝났어 743,It's over 743
있을거야 742,There will be 742
머리를 740,head 740
생각하지 740,don't think 740
뭐라고요 740,What? 740
힘든 739,tough 739
보게 739,see 739
가게 739,shop 739
말해봐 738,tell me 738
밥 736,Bob 736
상황이 735,situation 735
줘요 734,Give me 734
만큼 734,As many as 734
했지만 732,but 732
같은데요 731,I think it’s 731
이름 730,name 730
엄마를 729,mom 729
전화를 729,dial 729
어쩔 727,What to do 727
있니 726,Is there 726
번째 726,726th
할까 726,Should I do it 726
얘길 726,story 726
찾는 725,Looking for 725
선생님이 724,teacher 724
진짜로 723,Really 723
일이에요 722,It's work 722
건지 722,Guernsey 722
가족을 721,family 721
할지 721,721
중이야 720,I'm in the middle of 720
믿지 720,believe it 720
닥쳐 720,Shut up 720
여기로 718,718 here
저건 716,That's 716
주고 715,give 715
멀리 715,far 715
어이 715,Hey 715
거짓말 709,lie 709
약 709,About 709
잭 707,jack 707
사실은 706,Actually 706
받을 706,receive 706
그러고 704,Then 704
겁니까 703,Are you saying 703?
먹을 703,eat 703
그치만 702,But 702
너에게 702,702 to you
들었어요 702,I heard 702
하기 701,701
오빠 701,Oppa 701
오고 701,Coming 701
있을까 700,Is it 700
어린 700,young 700
통해 699,Via 699
아닌데 696,It's not 696
조금만 696,Just a little 696
맞는 695,fit 695
차에 693,693 in car
여자는 693,693 for women
보러 693,693 to see
손에 693,693 in hand
모르지 692,I don't know 692
가까이 691,close 691
테니 691,Teni 691
되죠 690,Okay 690
점점 688,Getting 688
잔 688,cup 688
이야기를 687,story 687
물론이죠 687,Of course 687
학교 685,school 685
주는 685,giving 685
아가씨 684,miss 684
먹어 682,Eat 682
것에 682,682
크게 681,Large 681
이유는 681,Reason 681
군 678,military 678
모두들 677,everyone 677
죽인 676,killed 676
셋 676,three 676
알죠 673,I know 673
기억 673,memory 673
경찰 673,police 673
제이 670,Jay 670
그래야 670,So 670
목숨을 670,670 lives
있을까요 669,Is there 669
아니지만 668,but not 668
했다 668,did 668
딸 667,daughter 667
많아 667,There are many 667
떨어져 667,off 667
사람이야 663,It's a person 663
다시는 662,Never again 662
거잖아 662,That's right 662
애들이 661,kids 661
애를 661,Aye 661
을 660,660
말이다 659,659
없다는 659,659
만들 658,make 658
오면 657,657
할게요 657,I will do it 657
아기 657,baby 657
영화 656,movie 656
가족 656,family 656
찾았어 655,Found it 655
특히 654,especially 654
아들을 654,son 654
제발요 654,Please 654
꿈을 654,dream 654
세상을 653,the world 653
놈을 652,652 bastard
아니었어 652,It wasn't 652
마이크 652,microphone 652
그리 652,652
무엇을 651,what 651
만드는 650,making 650
얼마 650,how much 650
보여요 650,I see it 650
사진 649,Photo 649
칼 649,sword 649
잠시만 648,Just a moment 648
병원에 648,648 to the hospital
같습니다 648,Same as 648
바보 647,stupid 647
